Entity,Code,Year,Existence of national screening program for cervical cancer
Afghanistan,AFG,2015,No
Afghanistan,AFG,2017,No
Afghanistan,AFG,2019,No
Afghanistan,AFG,2021,No
Albania,ALB,2015,No
Albania,ALB,2017,Yes
Albania,ALB,2019,Yes
Albania,ALB,2021,Yes
Algeria,DZA,2015,Yes
Algeria,DZA,2017,Yes
Algeria,DZA,2019,No
Algeria,DZA,2021,Yes
Andorra,AND,2015,No
Andorra,AND,2017,No
Andorra,AND,2019,No
Andorra,AND,2021,No
Angola,AGO,2015,Yes
Angola,AGO,2017,Yes
Angola,AGO,2019,No
Angola,AGO,2021,No
Antigua and Barbuda,ATG,2015,Yes
Antigua and Barbuda,ATG,2017,No
Antigua and Barbuda,ATG,2019,No
Antigua and Barbuda,ATG,2021,Yes
Argentina,ARG,2015,Yes
Argentina,ARG,2017,Yes
Argentina,ARG,2019,Yes
Argentina,ARG,2021,Yes
Armenia,ARM,2015,Yes
Armenia,ARM,2017,Yes
Armenia,ARM,2019,Yes
Armenia,ARM,2021,Yes
Australia,AUS,2015,Yes
Australia,AUS,2017,Yes
Australia,AUS,2019,Yes
Australia,AUS,2021,Yes
Austria,AUT,2015,Yes
Austria,AUT,2017,Yes
Austria,AUT,2019,Yes
Austria,AUT,2021,Yes
Azerbaijan,AZE,2015,No
Azerbaijan,AZE,2017,No
Azerbaijan,AZE,2019,No
Azerbaijan,AZE,2021,No
Bahamas,BHS,2015,Yes
Bahamas,BHS,2017,No
Bahamas,BHS,2019,No
Bahamas,BHS,2021,No
Bahrain,BHR,2015,Yes
Bahrain,BHR,2017,Yes
Bahrain,BHR,2019,Yes
Bahrain,BHR,2021,Yes
Bangladesh,BGD,2015,Yes
Bangladesh,BGD,2017,Yes
Bangladesh,BGD,2019,Yes
Bangladesh,BGD,2021,Yes
Barbados,BRB,2015,No
Barbados,BRB,2017,No
Barbados,BRB,2019,No
Barbados,BRB,2021,No
Belarus,BLR,2015,No
Belarus,BLR,2017,Yes
Belarus,BLR,2019,Yes
Belarus,BLR,2021,Yes
Belgium,BEL,2015,Yes
Belgium,BEL,2017,Yes
Belgium,BEL,2019,Yes
Belgium,BEL,2021,Yes
Belize,BLZ,2015,Yes
Belize,BLZ,2017,No
Belize,BLZ,2019,Yes
Belize,BLZ,2021,Yes
Benin,BEN,2015,No
Benin,BEN,2017,Yes
Benin,BEN,2019,No
Benin,BEN,2021,No
Bhutan,BTN,2015,Yes
Bhutan,BTN,2017,Yes
Bhutan,BTN,2019,Yes
Bhutan,BTN,2021,Yes
Bolivia,BOL,2015,Yes
Bolivia,BOL,2017,Yes
Bolivia,BOL,2019,Don't know
Bolivia,BOL,2021,Yes
Bosnia and Herzegovina,BIH,2015,Yes
Bosnia and Herzegovina,BIH,2017,Yes
Bosnia and Herzegovina,BIH,2019,Yes
Bosnia and Herzegovina,BIH,2021,Yes
Botswana,BWA,2015,No data received
Botswana,BWA,2017,Yes
Botswana,BWA,2019,No
Botswana,BWA,2021,Yes
Brazil,BRA,2015,Yes
Brazil,BRA,2017,Yes
Brazil,BRA,2019,Yes
Brazil,BRA,2021,Yes
Brunei,BRN,2015,Yes
Brunei,BRN,2017,Yes
