"Column","Missing_Count","Missing_Percent"
"Age",0,0
"Number.of.sexual.partners",26,3.03
"First.sexual.intercourse",7,0.82
"Num.of.pregnancies",56,6.53
"Smokes",13,1.52
"Smokes..years.",13,1.52
"Smokes..packs.year.",13,1.52
"Hormonal.Contraceptives",108,12.59
"Hormonal.Contraceptives..years.",108,12.59
"IUD",117,13.64
"IUD..years.",117,13.64
"STDs",105,12.24
"STDs..number.",105,12.24
"STDs.condylomatosis",105,12.24
"STDs.cervical.condylomatosis",105,12.24
"STDs.vaginal.condylomatosis",105,12.24
"STDs.vulvo.perineal.condylomatosis",105,12.24
"STDs.syphilis",105,12.24
"STDs.pelvic.inflammatory.disease",105,12.24
"STDs.genital.herpes",105,12.24
"STDs.molluscum.contagiosum",105,12.24
"STDs.AIDS",105,12.24
"STDs.HIV",105,12.24
"STDs.Hepatitis.B",105,12.24
"STDs.HPV",105,12.24
"STDs..Number.of.diagnosis",0,0
"STDs..Time.since.first.diagnosis",787,91.72
"STDs..Time.since.last.diagnosis",787,91.72
"Dx.Cancer",0,0
"Dx.CIN",0,0
"Dx.HPV",0,0
"Dx",0,0
"Hinselmann",0,0
"Schiller",0,0
"Citology",0,0
"Biopsy",0,0
